SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	2166X	NA	NA	9	11	11
INPAT	2167A	NA	NA	9	45	40
INPAT	2167G	NA	NA	9	20	18
INPAT	2167X	NA	NA	9	24	24
INPAT	21688	NA	NA	8	43	43
INPAT	2168A	NA	NA	9	16	15
INPAT	2168X	NA	NA	9	6	6
INPAT	21699	NA	NA	8	51	49
INPAT	2169A	NA	NA	9	8	8
INPAT	2169X	NA	NA	9	11	10
INPAT	2170A	NA	NA	9	416	403
INPAT	21799	NA	NA	8	668	627
INPAT	21800	NA	NA	8	20	20
INPAT	2180A	NA	NA	9	6238	5317
INPAT	21892	NA	NA	8	6	6
INPAT	21899	NA	NA	8	5042	4124
INPAT	21900	NA	NA	8	795	736
INPAT	21901	NA	NA	8	41	40
INPAT	2190A	NA	NA	9	33	33
INPAT	21910	NA	NA	8	8	8
INPAT	2191A	NA	NA	9	53	49
INPAT	21920	NA	NA	8	50	48
INPAT	21998	NA	NA	8	24	23
INPAT	21999	NA	NA	8	22	21
INPAT	22000	NA	NA	8	9	9
INPAT	22001	NA	NA	8	51	50
INPAT	22002	NA	NA	8	43	34
INPAT	22005	NA	NA	8	155	150
INPAT	2200A	NA	NA	9	906	834
INPAT	22010	NA	NA	8	72	67
INPAT	22011	NA	NA	8	9	9
INPAT	22012	NA	NA	8	15	15
INPAT	22090	NA	NA	8	6	6
INPAT	22099	NA	NA	8	1173	1087
INPAT	22101	NA	NA	8	62	61
INPAT	2210A	NA	NA	9	32	31
INPAT	22110	NA	NA	8	57	55
INPAT	22111	NA	NA	8	12	11
INPAT	2211A	NA	NA	9	19	18
INPAT	22120	NA	NA	8	90	87
INPAT	22121	NA	NA	8	33	32
INPAT	22122	NA	NA	8	31	26
INPAT	2212A	NA	NA	9	29	29
INPAT	22180	NA	NA	8	23	22
INPAT	2218X	NA	NA	9	7	7
INPAT	22199	NA	NA	8	19	18
INPAT	22200	NA	NA	8	20	20
INPAT	2220A	NA	NA	9	13	9
INPAT	22210	NA	NA	8	8	8
